Название,Цена,Старая цена,Скидка,Бонусы за покупку,Процессор,Видеокарта,Оперативная память,Накопитель,Экран,Операционная система,Ссылка
Lenovo IdeaPad Gaming 3 15IHU6 (82K1010KRK),71999,79999,10,2160,Intel Core i5-11300H 3.1 ГГц,NVIDIA GeForce RTX 3050 4 ГБ,8 ГБ DDR4,256 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-lenovo-ideapad-gaming-3-15ihu6-82k1010krk/
Lenovo Legion 5 15ACH6A (82NW0046RU),109999,119999,8,3300,AMD Ryzen 5 5600H 3.3 ГГц,AMD RX 6600M 8 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 11 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-lenovo-legion-5-15ach6a-82nw0046ru/
Lenovo Legion 5 15ACH6A (82NW001ERU),109999,Нет,Нет,3300,AMD Ryzen 5 5600H 3.3 ГГц,AMD RX 6600M 8 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/noutbuk-lenovo-legion-5-15ach6a-82nw001eru/
Acer Aspire 7 A715-75G-57GR (NH.Q99ER.00K),69999,89999,22,2100,Intel Core i5-10300H ,NVIDIA GeForce GTX 1650 4GB 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 10,https://www.eldorado.ru/cat/detail/noutbuk-acer-aspire-7-a715-75g-57gr-nh-q99er-00k/
Acer Aspire 7 A715-42G-R3FW (NH.QDLER.003),99999,Нет,Нет,3000,AMD Ryzen 5 5500U 2.1 ГГц,NVIDIA GeForce RTX 3050 Ti 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 11 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-acer-aspire-7-a715-42g-r3fw-nh-qdler-003/
HP Omen 16-c0001ur (491L8EA),139999,159999,13,4200,AMD Ryzen 7 5800H 3.2 ГГц,NVIDIA GeForce RTX 3070 8 ГБ,16 ГБ DDR4,1 ТБ SSD,"1920x1080 16.1""",Windows 10 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-omen-16-c0001ur-491l8ea/
ASUS ROG Strix G17 G713IM-HX017W (90NR05D2-M001T0),139999,169999,18,4200,AMD Ryzen 7 4800H 2.9 ГГц,NVIDIA GeForce RTX 3060 6 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 17.3""",Windows 11 Домашняя,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-asus-rog-strix-g17-g713im-hx017w-90nr05d2-m001t0/
HP Pavilion Gaming 17-cd2081ur (638F9EA),109999,119999,8,3300,Intel Core i5-11300H 3.1 ГГц,NVIDIA RTX 3050 Ti 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 17.3""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-pavilion-gaming-17-cd2081ur-638f9ea/
HP Omen 16-b0003ur (492H9EA),129999,159999,19,3900,Intel Core i5-11400H 2.7 ГГц,NVIDIA GeForce RTX 3060 6 ГБ,16 ГБ DDR4,1 ТБ SSD,"1920x1080 16.1""",Windows 10 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-omen-16-b0003ur-492h9ea/
Lenovo IdeaPad Gaming 3 15ACH6 (82K2002ARK),83999,Нет,Нет,2520,AMD Ryzen 5 5600H 3.3 ГГц,NVIDIA GeForce RTX 3050 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-lenovo-ideapad-gaming-3-15ach6-82k2002ark/
